air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed,date,session_key,meeting_key
24.7,17,1017.5,0,29.8,338,0.8,2023-03-04T14:45:42.421000+00:00,7768,1141
24.6,17,1017.5,0,29.7,17,0.8,2023-03-04T14:46:42.217000+00:00,7768,1141
24.6,17,1017.5,0,29.6,323,0.5,2023-03-04T14:47:42.231000+00:00,7768,1141
24.6,17,1017.5,0,29.6,345,1,2023-03-04T14:48:42.246000+00:00,7768,1141
24.6,18,1017.4,0,29.5,355,0.8,2023-03-04T14:49:42.260000+00:00,7768,1141
24.5,18,1017.5,0,29.5,345,0.8,2023-03-04T14:50:42.259000+00:00,7768,1141
24.5,17,1017.5,0,29.4,351,1.2,2023-03-04T14:51:42.258000+00:00,7768,1141
24.4,17,1017.4,0,29.4,357,1.2,2023-03-04T14:52:42.257000+00:00,7768,1141
24.4,17,1017.5,0,29.3,328,0.8,2023-03-04T14:53:42.256000+00:00,7768,1141
24.4,17,1017.5,0,29.3,340,1.1,2023-03-04T14:54:42.255000+00:00,7768,1141
24.4,17,1017.5,0,29.3,325,1,2023-03-04T14:55:42.254000+00:00,7768,1141
24.4,17,1017.5,0,29.2,350,0.8,2023-03-04T14:56:42.253000+00:00,7768,1141
24.4,16,1017.5,0,29.2,345,1.1,2023-03-04T14:57:42.252000+00:00,7768,1141
24.3,17,1017.5,0,29.1,9,1,2023-03-04T14:58:42.251000+00:00,7768,1141
24.3,17,1017.5,0,29,47,0.6,2023-03-04T14:59:42.250000+00:00,7768,1141
24.3,17,1017.5,0,29,316,0.4,2023-03-04T15:00:42.248000+00:00,7768,1141
24.4,17,1017.5,0,29.1,0,0.4,2023-03-04T15:01:42.247000+00:00,7768,1141
24.4,16,1017.5,0,29.1,109,0,2023-03-04T15:02:42.262000+00:00,7768,1141
24.4,17,1017.5,0,29.1,23,0.4,2023-03-04T15:03:42.245000+00:00,7768,1141
24.4,17,1017.5,0,29.1,0,0,2023-03-04T15:04:42.260000+00:00,7768,1141
24.3,16,1017.5,0,29.1,133,0,2023-03-04T15:05:42.259000+00:00,7768,1141
24.3,17,1017.5,0,28.9,174,0.6,2023-03-04T15:06:42.273000+00:00,7768,1141
24.3,16,1017.5,0,29,217,0.4,2023-03-04T15:07:42.288000+00:00,7768,1141
24.3,16,1017.5,0,29,71,0,2023-03-04T15:08:42.287000+00:00,7768,1141
24.4,16,1017.5,0,29,0,0.8,2023-03-04T15:09:42.286000+00:00,7768,1141
24.4,16,1017.5,0,29,330,0,2023-03-04T15:10:42.300000+00:00,7768,1141
